checking_status,duration,loan_history,purpose,loan_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_loans,job,num_dependents,own_telephone,foreign_worker,accepted,label,foreign_worker_binary,checking_status_ordinal,savings_status_ordinal,employment_ordinal,installment_commitment_ordinal
None,10.0,Critical_acct_other_loans_existing,new_car,1231.0,<100DM,>7yrs,3.0,male_single,None,4.0,real_estate,32.0,none,own,qm22,unskilled_resident,2.0,No,no,2.0,0.0,0.0,-1.0,0.0,3.0,3.0
0_to_200DM,15.0,Existing_loans_paid_till_now,radio/television,802.0,<100DM,>7yrs,4.0,male_single,None,3.0,car_or_other_nonsavings,37.0,none,own,1,skilled_employee/official,2.0,No,yes,1.0,1.0,1.0,1.0,0.0,3.0,4.0
None,36.0,Critical_acct_other_loans_existing,business,6304.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,real_estate,36.0,none,own,yh22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
None,24.0,Existing_loans_paid_till_now,radio/television,1533.0,<100DM,<1yr,4.0,female_divorced/separated/married,None,3.0,car_or_other_nonsavings,38.0,stores,own,wa1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,0.0,4.0
<0DM,14.0,Existing_loans_paid_till_now,new_car,8978.0,<100DM,>7yrs,1.0,male_divorced/separated,None,4.0,building_society_savings_agreement/life_insurance,45.0,none,own,o1,management_self-employed_highly_qualified/officer,1.0,Yes,no,1.0,1.0,0.0,0.0,0.0,3.0,1.0
None,24.0,Existing_loans_paid_till_now,radio/television,999.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,2.0,car_or_other_nonsavings,25.0,none,own,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
None,18.0,Existing_loans_paid_till_now,new_car,2662.0,Unknown_or_no_savings_acct,4_to_7yrs,4.0,male_single,None,3.0,building_society_savings_agreement/life_insurance,32.0,none,own,i1,skilled_employee/official,1.0,No,no,2.0,0.0,0.0,-1.0,-1.0,2.0,4.0
None,12.0,Critical_acct_other_loans_existing,furniture/equipment,1402.0,500_to_1000DM,4_to_7yrs,3.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,37.0,none,rent,h1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,2.0,2.0,3.0
0_to_200DM,48.0,All_loans_paid_duly,new_car,12169.0,Unknown_or_no_savings_acct,unemployed,4.0,male_single,co-applicant,4.0,unknown/no_property,36.0,none,for_free,cn1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,1.0,-1.0,-1.0,4.0
0_to_200DM,48.0,Existing_loans_paid_till_now,radio/television,3060.0,<100DM,4_to_7yrs,4.0,male_single,None,4.0,real_estate,28.0,none,own,v22,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,2.0,4.0
<0DM,30.0,Existing_loans_paid_till_now,repairs,11998.0,<100DM,<1yr,1.0,male_divorced/separated,None,1.0,unknown/no_property,34.0,none,own,w1,unskilled_resident,1.0,Yes,yes,1.0,1.0,1.0,0.0,0.0,0.0,1.0
None,9.0,Existing_loans_paid_till_now,radio/television,2697.0,<100DM,1_to_4yrs,1.0,male_single,None,2.0,real_estate,32.0,none,own,r1,skilled_employee/official,2.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,1.0
None,18.0,Critical_acct_other_loans_existing,radio/television,2404.0,<100DM,1_to_4yrs,2.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,26.0,none,own,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,2.0
<0DM,12.0,Existing_loans_paid_till_now,furniture/equipment,1262.0,Unknown_or_no_savings_acct,>7yrs,2.0,male_divorced/separated,None,4.0,building_society_savings_agreement/life_insurance,49.0,none,own,oz1,unskilled_resident,1.0,Yes,yes,2.0,0.0,1.0,0.0,-1.0,3.0,2.0
None,6.0,Existing_loans_paid_till_now,furniture/equipment,4611.0,<100DM,<1yr,1.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,32.0,none,own,1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,-1.0,0.0,0.0,1.0
None,24.0,Existing_loans_paid_till_now,radio/television,1901.0,100_to_500DM,1_to_4yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,29.0,none,rent,1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,-1.0,1.0,1.0,4.0
None,15.0,Critical_acct_other_loans_existing,used_car,3368.0,>1000DM,>7yrs,3.0,male_single,None,4.0,unknown/no_property,23.0,none,rent,y22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,3.0,3.0,3.0
None,12.0,Existing_loans_paid_till_now,furniture/equipment,1574.0,<100DM,1_to_4yrs,4.0,male_single,None,2.0,real_estate,50.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
>200DM,18.0,All_loans_paid_duly,radio/television,1445.0,Unknown_or_no_savings_acct,4_to_7yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,49.0,bank,own,u1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,2.0,-1.0,2.0,4.0
None,15.0,Critical_acct_other_loans_existing,furniture/equipment,1520.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,63.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
0_to_200DM,24.0,Critical_acct_other_loans_existing,new_car,3878.0,100_to_500DM,<1yr,4.0,male_divorced/separated,None,2.0,car_or_other_nonsavings,37.0,none,own,1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,1.0,0.0,4.0
<0DM,47.0,Existing_loans_paid_till_now,new_car,10722.0,<100DM,<1yr,1.0,female_divorced/separated/married,None,1.0,real_estate,35.0,none,own,i1,unskilled_resident,1.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,0.0,1.0
<0DM,48.0,Existing_loans_paid_till_now,used_car,4788.0,<100DM,4_to_7yrs,4.0,male_single,None,3.0,building_society_savings_agreement/life_insurance,26.0,none,own,1,skilled_employee/official,2.0,No,yes,2.0,0.0,1.0,0.0,0.0,2.0,4.0
0_to_200DM,48.0,Delay_in_past,other,7582.0,100_to_500DM,unemployed,2.0,male_single,None,4.0,unknown/no_property,31.0,none,for_free,1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,1.0,1.0,-1.0,2.0
0_to_200DM,12.0,Existing_loans_paid_till_now,radio/television,1092.0,<100DM,1_to_4yrs,4.0,female_divorced/separated/married,guarantor,4.0,real_estate,49.0,none,own,kw22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,1.0,4.0
<0DM,24.0,Delay_in_past,radio/television,1024.0,<100DM,<1yr,4.0,male_married/widowed,None,4.0,real_estate,48.0,stores,own,u1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,0.0,4.0
None,12.0,Existing_loans_paid_till_now,business,1076.0,<100DM,1_to_4yrs,2.0,male_married/widowed,None,2.0,real_estate,26.0,none,own,u1,skilled_employee/official,1.0,Yes,no,2.0,0.0,0.0,-1.0,0.0,1.0,2.0
0_to_200DM,36.0,Existing_loans_paid_till_now,used_car,9398.0,<100DM,<1yr,1.0,male_married/widowed,None,4.0,car_or_other_nonsavings,28.0,none,rent,j1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,0.0,1.0
<0DM,24.0,Critical_acct_other_loans_existing,used_car,6419.0,<100DM,>7yrs,2.0,female_divorced/separated/married,None,4.0,unknown/no_property,44.0,none,for_free,ja22,management_self-employed_highly_qualified/officer,2.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,3.0,2.0
>200DM,42.0,Critical_acct_other_loans_existing,used_car,4796.0,<100DM,>7yrs,4.0,male_single,None,4.0,unknown/no_property,56.0,none,for_free,p1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,2.0,0.0,3.0,4.0
None,48.0,Critical_acct_other_loans_existing,business,7629.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_divorced/separated,None,2.0,car_or_other_nonsavings,46.0,bank,own,22,management_self-employed_highly_qualified/officer,2.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
0_to_200DM,48.0,Existing_loans_paid_till_now,furniture/equipment,9960.0,<100DM,<1yr,1.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,26.0,none,own,1,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,0.0,1.0
None,12.0,Existing_loans_paid_till_now,used_car,4675.0,Unknown_or_no_savings_acct,<1yr,1.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,20.0,none,rent,d1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,0.0,1.0
None,10.0,Existing_loans_paid_till_now,new_car,1287.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,co-applicant,2.0,building_society_savings_agreement/life_insurance,45.0,none,own,1,unskilled_resident,1.0,No,no,2.0,0.0,0.0,-1.0,-1.0,3.0,4.0
None,18.0,Existing_loans_paid_till_now,furniture/equipment,2515.0,<100DM,1_to_4yrs,3.0,male_single,None,4.0,real_estate,43.0,none,own,qa1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,1.0,3.0
0_to_200DM,21.0,Critical_acct_other_loans_existing,furniture/equipment,2745.0,>1000DM,4_to_7yrs,3.0,male_single,None,2.0,car_or_other_nonsavings,32.0,none,own,s22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,3.0,2.0,3.0
None,6.0,Existing_loans_paid_till_now,new_car,672.0,<100DM,unemployed,1.0,female_divorced/separated/married,None,4.0,real_estate,54.0,none,own,r1,unemployed/unskilled_nonresident,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,-1.0,1.0
0_to_200DM,36.0,No_loans_taken_or_all_paid,radio/television,3804.0,<100DM,1_to_4yrs,4.0,female_divorced/separated/married,None,1.0,car_or_other_nonsavings,42.0,none,own,vo1,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,1.0,4.0
>200DM,24.0,Critical_acct_other_loans_existing,new_car,1344.0,Unknown_or_no_savings_acct,4_to_7yrs,4.0,male_single,None,2.0,real_estate,37.0,bank,own,w22,unskilled_resident,2.0,No,yes,1.0,1.0,1.0,2.0,-1.0,2.0,4.0
<0DM,10.0,Critical_acct_other_loans_existing,new_car,1038.0,<100DM,4_to_7yrs,4.0,male_single,co-applicant,3.0,building_society_savings_agreement/life_insurance,49.0,none,own,q22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,2.0,4.0
None,48.0,Critical_acct_other_loans_existing,new_car,10127.0,500_to_1000DM,1_to_4yrs,2.0,male_single,None,2.0,unknown/no_property,44.0,bank,for_free,w1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,-1.0,2.0,1.0,2.0
None,6.0,Existing_loans_paid_till_now,furniture/equipment,1543.0,>1000DM,1_to_4yrs,4.0,male_divorced/separated,None,2.0,real_estate,33.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,3.0,1.0,4.0
None,30.0,Existing_loans_paid_till_now,used_car,4811.0,Unknown_or_no_savings_acct,4_to_7yrs,2.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,24.0,stores,rent,yv1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,2.0,2.0
<0DM,12.0,Existing_loans_paid_till_now,radio/television,727.0,100_to_500DM,<1yr,4.0,male_married/widowed,None,3.0,unknown/no_property,33.0,none,own,w1,unskilled_resident,1.0,Yes,yes,1.0,1.0,1.0,0.0,1.0,0.0,4.0
0_to_200DM,8.0,Existing_loans_paid_till_now,furniture/equipment,1237.0,<100DM,1_to_4yrs,3.0,female_divorced/separated/married,None,4.0,real_estate,24.0,none,own,b1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,1.0,3.0
0_to_200DM,9.0,Existing_loans_paid_till_now,new_car,276.0,<100DM,1_to_4yrs,4.0,male_married/widowed,None,4.0,real_estate,22.0,none,rent,1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,1.0,4.0
0_to_200DM,48.0,Existing_loans_paid_till_now,other,5381.0,Unknown_or_no_savings_acct,unemployed,3.0,male_single,None,4.0,unknown/no_property,40.0,bank,for_free,1,unemployed/unskilled_nonresident,1.0,Yes,yes,2.0,0.0,1.0,1.0,-1.0,-1.0,3.0
None,24.0,Existing_loans_paid_till_now,furniture/equipment,5511.0,100_to_500DM,1_to_4yrs,4.0,male_single,None,1.0,car_or_other_nonsavings,25.0,stores,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,1.0,1.0,4.0
>200DM,24.0,Existing_loans_paid_till_now,furniture/equipment,3749.0,<100DM,<1yr,2.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,26.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,2.0,0.0,0.0,2.0
0_to_200DM,12.0,Existing_loans_paid_till_now,new_car,685.0,<100DM,4_to_7yrs,2.0,male_married/widowed,None,3.0,car_or_other_nonsavings,25.0,bank,own,p1,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,2.0,2.0
>200DM,4.0,Existing_loans_paid_till_now,new_car,1494.0,Unknown_or_no_savings_acct,<1yr,1.0,male_single,None,2.0,real_estate,29.0,none,own,vo1,unskilled_resident,2.0,No,no,2.0,0.0,0.0,2.0,-1.0,0.0,1.0
<0DM,36.0,All_loans_paid_duly,furniture/equipment,2746.0,<100DM,>7yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,31.0,bank,own,vu1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,3.0,4.0
<0DM,12.0,Existing_loans_paid_till_now,furniture/equipment,708.0,<100DM,1_to_4yrs,2.0,male_single,guarantor,3.0,building_society_savings_agreement/life_insurance,38.0,none,own,u1,unskilled_resident,2.0,No,yes,2.0,0.0,1.0,0.0,0.0,1.0,2.0
0_to_200DM,24.0,Existing_loans_paid_till_now,furniture/equipment,4351.0,Unknown_or_no_savings_acct,1_to_4yrs,1.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,48.0,none,own,t1,unskilled_resident,1.0,Yes,yes,2.0,0.0,1.0,1.0,-1.0,1.0,1.0
None,12.0,Critical_acct_other_loans_existing,education,701.0,<100DM,1_to_4yrs,4.0,male_single,None,2.0,car_or_other_nonsavings,32.0,none,own,s22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
<0DM,15.0,Delay_in_past,furniture/equipment,3643.0,<100DM,>7yrs,1.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,27.0,none,own,22,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,3.0,1.0
0_to_200DM,30.0,Critical_acct_other_loans_existing,new_car,4249.0,<100DM,unemployed,4.0,male_married/widowed,None,2.0,car_or_other_nonsavings,28.0,none,own,r22,management_self-employed_highly_qualified/officer,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,-1.0,4.0
<0DM,24.0,Existing_loans_paid_till_now,radio/television,1938.0,<100DM,<1yr,4.0,male_divorced/separated,None,3.0,building_society_savings_agreement/life_insurance,32.0,none,own,1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,0.0,4.0
<0DM,24.0,Existing_loans_paid_till_now,used_car,2910.0,<100DM,4_to_7yrs,2.0,male_single,None,1.0,unknown/no_property,34.0,none,for_free,z1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,2.0,2.0
<0DM,18.0,Existing_loans_paid_till_now,furniture/equipment,2659.0,>1000DM,1_to_4yrs,4.0,male_single,None,2.0,car_or_other_nonsavings,28.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,3.0,1.0,4.0
None,18.0,Critical_acct_other_loans_existing,new_car,1028.0,<100DM,1_to_4yrs,4.0,female_divorced/separated/married,None,3.0,real_estate,36.0,none,own,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
<0DM,8.0,Critical_acct_other_loans_existing,new_car,3398.0,<100DM,4_to_7yrs,1.0,male_single,None,4.0,real_estate,39.0,none,own,22,unskilled_resident,1.0,No,no,2.0,0.0,0.0,0.0,0.0,2.0,1.0
None,12.0,Critical_acct_other_loans_existing,furniture/equipment,5801.0,Unknown_or_no_savings_acct,>7yrs,2.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,49.0,none,rent,as1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,2.0
None,24.0,Existing_loans_paid_till_now,new_car,1525.0,>1000DM,4_to_7yrs,4.0,female_divorced/separated/married,None,3.0,car_or_other_nonsavings,34.0,none,own,p1,skilled_employee/official,2.0,Yes,yes,2.0,0.0,1.0,-1.0,3.0,2.0,4.0
>200DM,36.0,Existing_loans_paid_till_now,radio/television,4473.0,<100DM,>7yrs,4.0,male_single,None,2.0,car_or_other_nonsavings,31.0,none,own,f1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,2.0,0.0,3.0,4.0
0_to_200DM,6.0,Existing_loans_paid_till_now,radio/television,1068.0,<100DM,>7yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,28.0,none,own,x1,skilled_employee/official,2.0,No,yes,2.0,0.0,1.0,1.0,0.0,3.0,4.0
<0DM,24.0,Critical_acct_other_loans_existing,used_car,6615.0,<100DM,unemployed,2.0,male_single,None,4.0,unknown/no_property,75.0,none,for_free,22,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,-1.0,2.0
None,18.0,Critical_acct_other_loans_existing,education,1864.0,100_to_500DM,1_to_4yrs,4.0,female_divorced/separated/married,None,2.0,real_estate,30.0,none,own,srd22,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,-1.0,1.0,1.0,4.0
0_to_200DM,60.0,Existing_loans_paid_till_now,new_car,7408.0,100_to_500DM,<1yr,4.0,female_divorced/separated/married,None,2.0,building_society_savings_agreement/life_insurance,24.0,none,own,1,management_self-employed_highly_qualified/officer,1.0,No,yes,1.0,1.0,1.0,1.0,1.0,0.0,4.0
None,48.0,Critical_acct_other_loans_existing,used_car,11590.0,100_to_500DM,1_to_4yrs,2.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,24.0,bank,rent,ef22,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,-1.0,1.0,1.0,2.0
<0DM,24.0,No_loans_taken_or_all_paid,furniture/equipment,4110.0,<100DM,>7yrs,3.0,male_single,None,4.0,unknown/no_property,23.0,bank,rent,g22,skilled_employee/official,2.0,No,yes,1.0,1.0,1.0,0.0,0.0,3.0,3.0
<0DM,6.0,Critical_acct_other_loans_existing,furniture/equipment,3384.0,<100DM,1_to_4yrs,1.0,male_divorced/separated,None,4.0,real_estate,44.0,none,rent,1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,0.0,0.0,1.0,1.0
0_to_200DM,13.0,Existing_loans_paid_till_now,radio/television,2101.0,<100DM,<1yr,2.0,female_divorced/separated/married,guarantor,4.0,building_society_savings_agreement/life_insurance,23.0,none,own,t1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,0.0,2.0
<0DM,15.0,Existing_loans_paid_till_now,domestic_appliances,1275.0,Unknown_or_no_savings_acct,1_to_4yrs,4.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,24.0,none,rent,1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,-1.0,1.0,4.0
<0DM,24.0,Existing_loans_paid_till_now,furniture/equipment,4169.0,<100DM,1_to_4yrs,4.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,28.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,1.0,4.0
0_to_200DM,10.0,Existing_loans_paid_till_now,furniture/equipment,1521.0,<100DM,1_to_4yrs,4.0,male_divorced/separated,None,2.0,car_or_other_nonsavings,31.0,none,own,jz1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,1.0,4.0
0_to_200DM,24.0,Critical_acct_other_loans_existing,education,5743.0,<100DM,<1yr,2.0,female_divorced/separated/married,None,4.0,unknown/no_property,24.0,none,for_free,zm22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,0.0,2.0
<0DM,21.0,Existing_loans_paid_till_now,furniture/equipment,3599.0,<100DM,4_to_7yrs,1.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,26.0,none,rent,h1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,2.0,1.0
0_to_200DM,18.0,Existing_loans_paid_till_now,radio/television,3213.0,500_to_1000DM,<1yr,1.0,male_married/widowed,None,3.0,real_estate,25.0,none,rent,c1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,2.0,0.0,1.0
0_to_200DM,18.0,Existing_loans_paid_till_now,business,4439.0,<100DM,>7yrs,1.0,male_single,co-applicant,1.0,real_estate,33.0,bank,own,z1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,3.0,1.0
>200DM,10.0,Existing_loans_paid_till_now,new_car,3949.0,<100DM,<1yr,1.0,male_single,guarantor,1.0,building_society_savings_agreement/life_insurance,37.0,none,own,cv1,unskilled_resident,2.0,No,yes,2.0,0.0,1.0,2.0,0.0,0.0,1.0
None,15.0,Critical_acct_other_loans_existing,radio/television,1459.0,<100DM,1_to_4yrs,4.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,43.0,none,own,n1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
0_to_200DM,13.0,Critical_acct_other_loans_existing,radio/television,882.0,<100DM,<1yr,4.0,male_single,guarantor,4.0,real_estate,23.0,none,own,d22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,0.0,4.0
0_to_200DM,24.0,Existing_loans_paid_till_now,radio/television,3758.0,500_to_1000DM,unemployed,1.0,female_divorced/separated/married,None,4.0,unknown/no_property,23.0,none,rent,zkj1,unemployed/unskilled_nonresident,1.0,No,yes,2.0,0.0,1.0,1.0,2.0,-1.0,1.0
None,6.0,Delay_in_past,business,1743.0,100_to_500DM,1_to_4yrs,1.0,male_single,None,2.0,real_estate,34.0,none,own,f22,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,1.0,1.0,1.0
0_to_200DM,9.0,Critical_acct_other_loans_existing,education,1136.0,>1000DM,>7yrs,4.0,male_single,None,3.0,unknown/no_property,32.0,none,for_free,ur22,skilled_employee/official,2.0,No,yes,1.0,1.0,1.0,1.0,3.0,3.0,4.0
None,9.0,Existing_loans_paid_till_now,domestic_appliances,1236.0,<100DM,<1yr,1.0,female_divorced/separated/married,None,4.0,real_estate,23.0,none,rent,b1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,0.0,1.0
0_to_200DM,9.0,Existing_loans_paid_till_now,furniture/equipment,959.0,<100DM,1_to_4yrs,1.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,29.0,none,own,du1,skilled_employee/official,1.0,No,no,1.0,1.0,0.0,1.0,0.0,1.0,1.0
None,18.0,Critical_acct_other_loans_existing,used_car,3229.0,Unknown_or_no_savings_acct,unemployed,2.0,male_single,None,4.0,unknown/no_property,38.0,none,own,uu1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,-1.0,2.0
<0DM,12.0,No_loans_taken_or_all_paid,radio/television,6199.0,<100DM,1_to_4yrs,4.0,male_single,None,2.0,building_society_savings_agreement/life_insurance,28.0,none,rent,qc22,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,0.0,0.0,1.0,4.0
None,10.0,Existing_loans_paid_till_now,education,727.0,500_to_1000DM,>7yrs,4.0,male_single,None,4.0,unknown/no_property,46.0,none,for_free,1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,2.0,3.0,4.0
0_to_200DM,24.0,Existing_loans_paid_till_now,new_car,1246.0,<100DM,<1yr,4.0,male_single,None,2.0,real_estate,23.0,stores,own,1,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,0.0,4.0
None,12.0,Critical_acct_other_loans_existing,radio/television,2331.0,Unknown_or_no_savings_acct,>7yrs,1.0,male_single,co-applicant,4.0,real_estate,49.0,none,own,z1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,1.0
None,36.0,Delay_in_past,radio/television,4463.0,<100DM,1_to_4yrs,4.0,male_single,None,2.0,car_or_other_nonsavings,26.0,none,own,uv22,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,-1.0,0.0,1.0,4.0
None,12.0,Existing_loans_paid_till_now,radio/television,776.0,<100DM,1_to_4yrs,4.0,male_married/widowed,None,2.0,real_estate,28.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
<0DM,30.0,Existing_loans_paid_till_now,furniture/equipment,2406.0,<100DM,4_to_7yrs,4.0,female_divorced/separated/married,None,4.0,real_estate,23.0,none,rent,a1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,2.0,4.0
0_to_200DM,18.0,Existing_loans_paid_till_now,education,1239.0,Unknown_or_no_savings_acct,1_to_4yrs,4.0,male_single,None,4.0,unknown/no_property,61.0,none,for_free,v1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,-1.0,1.0,4.0
>200DM,12.0,Existing_loans_paid_till_now,radio/television,3399.0,Unknown_or_no_savings_acct,>7yrs,2.0,male_single,None,3.0,car_or_other_nonsavings,37.0,none,own,k1,management_self-employed_highly_qualified/officer,1.0,No,yes,2.0,0.0,1.0,2.0,-1.0,3.0,2.0
>200DM,12.0,Delay_in_past,new_car,2247.0,<100DM,1_to_4yrs,2.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,36.0,stores,own,zg22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,2.0,0.0,1.0,2.0
None,6.0,Existing_loans_paid_till_now,furniture/equipment,1766.0,<100DM,1_to_4yrs,1.0,male_married/widowed,None,2.0,building_society_savings_agreement/life_insurance,21.0,none,rent,wt1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,1.0
<0DM,18.0,Existing_loans_paid_till_now,furniture/equipment,2473.0,<100DM,unemployed,4.0,male_single,None,1.0,car_or_other_nonsavings,25.0,none,own,cn1,unemployed/unskilled_nonresident,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,-1.0,4.0
None,12.0,Existing_loans_paid_till_now,business,1542.0,<100DM,4_to_7yrs,2.0,male_single,None,4.0,car_or_other_nonsavings,36.0,none,own,ox1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,2.0,2.0
